Date,Path
2026-01-01,135771.0
2026-01-02,134168.78863832442
2026-01-05,135925.6216854716
2026-01-06,133985.10174604942
2026-01-07,135508.9993018951
2026-01-08,134587.48122638577
2026-01-09,137736.5084106702
2026-01-12,135202.2603844874
2026-01-13,140211.89062591837
2026-01-14,135735.9270992146
2026-01-15,138222.29351515064
2026-01-16,133376.9301085848
2026-01-19,137326.7955773583
2026-01-20,131535.02639374748
2026-01-21,138485.75971146187
2026-01-22,133708.2402272206
2026-01-23,133632.20513503224
2026-01-26,136137.5125621403
2026-01-27,135548.75141219812
2026-01-28,134080.1891033641
2026-01-29,136060.38808806817
2026-01-30,136703.37937836093
2026-02-02,135302.6447341474
2026-02-03,136482.04409846943
2026-02-04,131969.29956915908
2026-02-05,134133.86760470495
2026-02-06,134441.4057548761
2026-02-09,131094.58090078193
2026-02-10,134034.3677119892
2026-02-11,134079.69687306008
2026-02-12,133061.47300116965
2026-02-13,134613.9652837963
2026-02-16,133553.2553586763
2026-02-17,135129.92711359943
2026-02-18,134788.7994298711
2026-02-19,137209.96373838003
2026-02-20,133342.50545457148
2026-02-23,138940.16395882997
2026-02-24,135272.44951978055
2026-02-25,139209.52098656615
2026-02-26,136912.96161388958
2026-02-27,137723.07882354854
2026-03-02,138803.06038050115
2026-03-03,141601.9263193327
2026-03-04,138266.92785310477
2026-03-05,140884.00756507757
2026-03-06,140011.22017449903
2026-03-09,139151.9660701061
2026-03-10,143791.30550960646
2026-03-11,137948.6333523198
2026-03-12,142106.88380473218
2026-03-13,142765.82526295565
2026-03-16,140723.5297741734
2026-03-17,142477.95439280313
2026-03-18,141890.3455995568
2026-03-19,143549.13823798645
2026-03-20,142486.0651367138
2026-03-23,142863.97198826887
2026-03-24,143141.40304245995
2026-03-25,144926.17468582865
2026-03-26,143936.85447491898
